Twitter_Handle,Tweet_Text,Tweet_URL,Tweet_Date
@Dataidealist,"RT @Informatica: Great Data Requires Great #DataIntegration â†’ https://t.co/0R1iDtLLpX #Data17 https://t.co/EKq55wMHD3",http://twitter.com/Dataidealist/status/918456374807408640,"October 12, 2017 at 08:40AM"
@RapidInsightInc,#DataDoggo Molly rockin' her Rapid Insight #TC17 swag! Stop by Booth 321 for yours! #tableau #data17 #conferenceâ€_ https://t.co/E53fRPJ5SG,http://twitter.com/RapidInsightInc/status/918456771085328384,"October 12, 2017 at 08:42AM"
@GetVeera,#DataDoggo Molly rockin' her Rapid Insight #TC17 swag! Stop by Booth 321 for yours! #tableau #data17 #conferenceâ€_ https://t.co/pgWjSOHqu3,http://twitter.com/GetVeera/status/918456777016004608,"October 12, 2017 at 08:42AM"
@twolves52,"RT @Informatica: NEWS: Informatica Partners with @Tableau to Unleash the Power of Data https://t.co/OwFJF4Rk7q    #Data17 https://t.co/03lvOtv2WN",http://twitter.com/twolves52/status/918457032147177472,"October 12, 2017 at 08:43AM"
@BarretoGermano,RT @meganmfay: Faces painted! #data17 https://t.co/dB432Enjp2,http://twitter.com/BarretoGermano/status/918457289400492033,"October 12, 2017 at 08:44AM"
@juanfrojas2502,RT @JusteenGales: The learning continues #data17 #tc17 https://t.co/FMgK4lk68X,http://twitter.com/juanfrojas2502/status/918457415200370688,"October 12, 2017 at 08:44AM"
@tkrause17,"RT @Informatica: Great Data Requires Great #DataIntegration â†’ https://t.co/0R1iDtLLpX #Data17 https://t.co/EKq55wMHD3",http://twitter.com/tkrause17/status/918457633551548416,"October 12, 2017 at 08:45AM"
@YvesMulkers,RT @doxyden: Tableau Data Fellows partying with our data Vegas style! #TableauFoundation #data17 https://t.co/K8DfbHrbNj,http://twitter.com/YvesMulkers/status/918457698852704256,"October 12, 2017 at 08:45AM"
@sirajma,RT @RichardFayers: Calling any UK data rock stars at #TC17. Check out @Slalom at booth 358 - and ask for @sirajma - #dataviz! #data17,http://twitter.com/sirajma/status/918458287368019969,"October 12, 2017 at 08:48AM"
@Amandine_Vega,RT @ActInVision: And the winner is @TristanGuillevi ! Congratulations ! you did it ! You can be proud of you :-) #data17 #IronVizâ€_ https://t.co/7crRKOJZ6I,http://twitter.com/Amandine_Vega/status/918460376014041088,"October 12, 2017 at 08:56AM"
@JPLcreative,RT @Jinalthosani: Leaving a mark!! @JPLcreative #data17 https://t.co/7FrYfgAJM7,http://twitter.com/JPLcreative/status/918460662170439681,"October 12, 2017 at 08:57AM"
@YvesMulkers,RT @graphemeconsult: Thanks for the shout out #data17 https://t.co/wTHQDrDSK6 https://t.co/0p1Hy4Lcei,http://twitter.com/YvesMulkers/status/918460730944389122,"October 12, 2017 at 08:57AM"
@twolves52,"RT @Informatica: Great Data Requires Great #DataIntegration â†’ https://t.co/0R1iDtLLpX #Data17 https://t.co/EKq55wMHD3",http://twitter.com/twolves52/status/918460905058373633,"October 12, 2017 at 08:58AM"
@mlou143,RT @DataWizEngineer: #IronViz at #Data17 - @icimo - it's #MORETHAN just a competition! Who will win this year?! https://t.co/PExXB27pvH,http://twitter.com/mlou143/status/918461732389113857,"October 12, 2017 at 09:01AM"
@mlou143,RT @sarliefin: #data17 is #MORETHAN a conference. It's a hyper experience. https://t.co/OCRqViLSUd,http://twitter.com/mlou143/status/918461987469910016,"October 12, 2017 at 09:02AM"
@mlou143,RT @codyckimball: #MoreThan #data17 https://t.co/l30fWslA2o,http://twitter.com/mlou143/status/918462005631242240,"October 12, 2017 at 09:03AM"
@kobakou,RT @tableau: .@EmpireOfTheSun closing out #DataNightOut at #data17! ï_˜ïè_ https://t.co/5iLhbw9OYa,http://twitter.com/kobakou/status/918462108521467904,"October 12, 2017 at 09:03AM"
@kyyyyyzz,RT @JonBoeckenstedt: Team @tableau did a great job pulling #DataNightOut at #Data17 together on a short notice https://t.co/M8O5AjC3ni,http://twitter.com/kyyyyyzz/status/918462780243693569,"October 12, 2017 at 09:06AM"
@finallee4me,RT @PlanetBrandee: ï_‰ï_‰ï_‰ Dance + Glow + Music + #Data = Repeat #Data17 #DataNightOut @tableau ï_‰ï_‰ï_‰ https://t.co/0qyDPzGfd2,http://twitter.com/finallee4me/status/918462877261950977,"October 12, 2017 at 09:06AM"
@YvesMulkers,"RT @hynous_amanda: If this was a tv show, I'd watch every week #data17 #ironviz #wearedatapeople https://t.co/OvnXzEJXmW",http://twitter.com/YvesMulkers/status/918463243756146688,"October 12, 2017 at 09:07AM"
@ealexdixon,"LAS âœˆï¸è ORD6:00 AM airport carpet action shot.#wearedatapeople #data17 https://t.co/WEkV5nI5qH",http://twitter.com/ealexdixon/status/918463294670700544,"October 12, 2017 at 09:08AM"
@ByteHerculean,"RT @Informatica: Great Data Requires Great #DataIntegration â†’ https://t.co/0R1iDtLLpX #Data17 https://t.co/EKq55wMHD3",http://twitter.com/ByteHerculean/status/918463984285769728,"October 12, 2017 at 09:10AM"
@sahil29nov,"EIC Discover for @Tableau: In Context Data Catalog for Self Service BI https://t.co/ONok21GHs9 #Data17",http://twitter.com/sahil29nov/status/918464245515411457,"October 12, 2017 at 09:11AM"
@jonathandrummey,Warming up for my @Tableau tips #data17 Ambassador battle with @lorna_eden @AnnUJackson @skybjohnson!Tableau User Gâ€_ https://t.co/gN21qZXinQ,http://twitter.com/jonathandrummey/status/918464429381095425,"October 12, 2017 at 09:12AM"
